epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,464.212,1.64214,4.71819,0.01306,0.3701,0.34707,0.31111,0.14861,1.64686,3.78828,0.01792,0.000475861,0.000475861,0.000475861
2,981.249,1.6775,3.0552,0.01403,0.39053,0.42173,0.35154,0.15534,1.7945,2.71013,0.02183,0.000942767,0.000942767,0.000942767
3,1564.39,1.74715,2.65092,0.01514,0.41821,0.41233,0.36838,0.13766,1.92697,2.53031,0.02441,0.00140024,0.00140024,0.00140024
4,2092.94,1.75547,2.50931,0.01534,0.4309,0.4611,0.39451,0.14948,1.87803,2.22106,0.02372,0.00138656,0.00138656,0.00138656
5,2640.84,1.74766,2.37222,0.01475,0.45774,0.47624,0.44293,0.20097,1.82586,2.08713,0.02196,0.00137241,0.00137241,0.00137241
6,3169.86,1.73979,2.30037,0.01495,0.47665,0.51378,0.46222,0.19536,1.76477,1.98842,0.02179,0.00135826,0.00135826,0.00135826
7,3687.08,1.72783,2.21383,0.0144,0.46728,0.50641,0.46901,0.21953,1.77036,1.95643,0.02106,0.00134412,0.00134412,0.00134412
8,4177.96,1.70023,2.17617,0.01431,0.47013,0.52992,0.48406,0.21876,1.77008,1.89047,0.02103,0.00132997,0.00132997,0.00132997
9,4659.66,1.70634,2.1203,0.01461,0.51089,0.50831,0.49141,0.23062,1.73094,1.84192,0.02071,0.00131582,0.00131582,0.00131582
10,5132.88,1.6822,2.10413,0.0143,0.50505,0.53537,0.51115,0.24052,1.73251,1.83062,0.02014,0.00130168,0.00130168,0.00130168
11,5580.15,1.68272,2.04739,0.01396,0.50381,0.52061,0.48981,0.24775,1.69594,1.80469,0.01943,0.00128753,0.00128753,0.00128753
12,6026.04,1.66364,2.00995,0.0139,0.50451,0.55351,0.50813,0.2442,1.70761,1.82949,0.02001,0.00127338,0.00127338,0.00127338
13,6472.42,1.68509,1.9818,0.01437,0.5444,0.5283,0.52739,0.25614,1.77908,1.75762,0.0211,0.00125923,0.00125923,0.00125923
14,6916.25,1.67212,2.00008,0.01411,0.52826,0.4997,0.48617,0.21803,1.80903,1.88539,0.02384,0.00124509,0.00124509,0.00124509
15,7400.66,1.66579,1.93981,0.01369,0.53898,0.54031,0.52664,0.25502,1.75267,1.79466,0.02049,0.00123094,0.00123094,0.00123094
16,7886.01,1.65981,1.92048,0.01366,0.53772,0.57007,0.54398,0.2611,1.7778,1.70988,0.02064,0.00121679,0.00121679,0.00121679
17,8378.7,1.65901,1.92487,0.01407,0.53189,0.5474,0.52601,0.26598,1.69781,1.73358,0.01926,0.00120265,0.00120265,0.00120265
18,8822.16,1.64658,1.8653,0.01343,0.54086,0.57218,0.54803,0.26632,1.74733,1.7154,0.02099,0.0011885,0.0011885,0.0011885
19,9270.16,1.65045,1.88559,0.01343,0.55325,0.56785,0.55261,0.27777,1.73373,1.65716,0.01999,0.00117435,0.00117435,0.00117435
20,9718.62,1.64933,1.87894,0.01346,0.55815,0.57059,0.55555,0.2744,1.71401,1.66128,0.02033,0.00116021,0.00116021,0.00116021
21,10390.4,1.62126,1.85054,0.01356,0.56603,0.56278,0.56164,0.27533,1.72721,1.62884,0.0207,0.00114606,0.00114606,0.00114606
22,11456.6,1.62262,1.80068,0.01336,0.58599,0.56934,0.57157,0.29621,1.65075,1.64501,0.01912,0.00113191,0.00113191,0.00113191
23,11879.8,1.62517,1.80077,0.01315,0.5702,0.56258,0.55745,0.2842,1.69459,1.67825,0.01934,0.00111776,0.00111776,0.00111776
24,12320.6,1.60132,1.80356,0.01335,0.55919,0.56071,0.56019,0.29252,1.64945,1.64522,0.01934,0.00110362,0.00110362,0.00110362
25,12720.8,1.61116,1.80603,0.01334,0.55538,0.57549,0.55818,0.28291,1.66546,1.72079,0.01947,0.00108947,0.00108947,0.00108947
26,13154.9,1.59955,1.76669,0.01279,0.57299,0.57075,0.56583,0.30517,1.62471,1.6273,0.01849,0.00107532,0.00107532,0.00107532
27,13599,1.60363,1.74845,0.01311,0.60076,0.57546,0.57409,0.29943,1.66147,1.61983,0.01873,0.00106118,0.00106118,0.00106118
28,14019.6,1.60402,1.75651,0.01304,0.58306,0.5669,0.5688,0.30353,1.69592,1.61017,0.01907,0.00104703,0.00104703,0.00104703
29,14447.9,1.59535,1.73466,0.01279,0.57831,0.57936,0.56415,0.28989,1.68638,1.60505,0.01985,0.00103288,0.00103288,0.00103288
30,14864.5,1.59124,1.71237,0.01257,0.57074,0.59507,0.58289,0.30203,1.67303,1.59492,0.01861,0.00101873,0.00101873,0.00101873
31,15296,1.57336,1.69988,0.01284,0.59932,0.60107,0.58795,0.30453,1.6836,1.58268,0.01914,0.00100459,0.00100459,0.00100459
